Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,C,C_0603_1608Metric,89.7636,-83.7184,0,top
C2,C,C_0603_1608Metric,97.3582,-83.7184,0,top
C3,C,C_0603_1608Metric,104.9528,-83.7438,0,top
C4,C,C_0603_1608Metric,112.6236,-83.7438,0,top
C5,C,C_0603_1608Metric,120.2182,-83.7438,0,top
C6,C,C_0603_1608Metric,127.8128,-83.7946,0,top
C7,C,C_0603_1608Metric,135.4328,-83.7946,0,top
C8,C,C_0603_1608Metric,143.0782,-83.82,0,top
C9,CP1,CP_EIA-3528-21_Kemet-B,110.236,-97.917,90,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.9,-88.9,90,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.52,-88.9,90,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.14,-88.9,90,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.76,-88.9,90,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.38,-88.9,90,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127,-88.9,90,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,134.62,-88.9,90,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.24,-88.9,90,top
R1,R_US,R_0603_1608Metric,127.7874,-77.6732,270,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,103.378,-99.441,90,top
